GeneID:101732128,ninj2,NA,NA
GeneID:116407617,npipb11,NA,NA
GeneID:116406647,rnf212b,NA,NA
GeneID:101735130,slc4a2,NA,NA
GeneID:116409664,etnk1,NA,NA
GeneID:113939908,ancv1r,NA,NA
GeneID:116408318,bbc3,NA,NA
GeneID:105948275,inafm2,NA,NA
GeneID:116406429,p3h3,NA,NA
GeneID:116408014,slc2a4rg,NA,NA
GeneID:101732951,il15ra,NA,NA
GeneID:116406727,ccdc120,NA,NA
GeneID:100487998,tgfbr3l,NA,NA
GeneID:101732531,trnp1,NA,NA
GeneID:101732317,c4h3orf18,NA,NA
GeneID:100335055,t2r2,NA,NA
GeneID:105946994,mpl,NA,NA
GeneID:101734011,il20rb,NA,NA
GeneID:116408861,evi2b,NA,NA
GeneID:100489124,lypd3,NA,NA
GeneID:101734696,znf524,NA,NA
GeneID:101734192,ccdc198,NA,NA
GeneID:100488553,map7d3,NA,NA
GeneID:116409661,lmo3,NA,NA
GeneID:100496773,rnase4,NA,NA
GeneID:116412425,c7hxorf65,NA,NA
GeneID:101733270,senp3,NA,NA
GeneID:116412335,spaca6,NA,NA
GeneID:116409663,spx,NA,NA
GeneID:101730385,lmntd1,NA,NA
GeneID:116408008,pdyn,NA,NA
GeneID:100490156,foxo6,NA,NA
GeneID:108648102,jhy,NA,NA
GeneID:100498007,ccdc185,NA,NA
GeneID:116408192,c1qc,NA,NA
GeneID:116409667,sspn,NA,NA
GeneID:116406528,lrrc26,NA,NA
GeneID:105948360,card11,NA,NA
GeneID:116411101,gp5,NA,NA
GeneID:116410566,c4h11orf91,NA,NA
GeneID:116408017,oprl1,NA,NA
GeneID:105946308,il20,NA,NA
GeneID:100488337,mrpl34,NA,NA
GeneID:116408065,asip,NA,NA
GeneID:100145633,pom121,NA,NA
GeneID:100335090,t2r43,NA,NA
GeneID:105945790,camk2n1,NA,NA
GeneID:100490443,tmem213,NA,NA
GeneID:100488800,fam184b,NA,NA
GeneID:101732126,cdkn1b,NA,NA
GeneID:101733025,shisal1,NA,NA
GeneID:116412011,ccl25,NA,NA
GeneID:100125093,mkrn2os,NA,NA
GeneID:101732664,shbg,NA,NA
GeneID:116406923,riiad1,NA,NA
GeneID:100495612,lat,NA,NA
GeneID:116408007,fndc11,NA,NA
GeneID:100487516,slc51b,NA,NA
GeneID:100498469,c2h17orf97,NA,NA
GeneID:100497907,fancb,NA,NA
GeneID:100487311,rnf225,NA,NA
GeneID:100485235,reeld1,NA,NA
GeneID:394897,ces5a,NA,NA
GeneID:101731209,il27ra,NA,NA
GeneID:116410950,lactbl1,NA,NA
GeneID:100493191,mdga1,NA,NA
GeneID:116408731,mab21l3,NA,NA
GeneID:100335075,t2r24,NA,NA
GeneID:101734656,miip,NA,NA
GeneID:105947272,batf2,NA,NA
GeneID:116406675,trim46,NA,NA
GeneID:100488797,tbata,NA,NA
GeneID:100496040,taf1c,NA,NA
GeneID:100329185,kissr2,NA,NA
GeneID:105947083,ecm2,NA,NA
GeneID:116410831,ost4,NA,NA
GeneID:101731954,psmb9,NA,NA
GeneID:100485964,rbm44,NA,NA
GeneID:100485326,tedc1,NA,NA
GeneID:116408631,apbb1,NA,NA
GeneID:116410793,tjap1,NA,NA
GeneID:100335059,t2r6,NA,NA
GeneID:116410818,ucn,NA,NA
GeneID:100335066,t2r14,NA,NA
GeneID:496902,ela3b,NA,NA
GeneID:116407983,fam110a,NA,NA
GeneID:100335095,t2r48,NA,NA
GeneID:100335089,t2r42,NA,NA
GeneID:101730897,lmln2,NA,NA
GeneID:100498385,ddias,NA,NA
GeneID:101730668,abcc8,NA,NA
GeneID:108646156,rtl9,NA,NA
GeneID:100335056,t2r3,NA,NA
GeneID:101734809,fndc9,NA,NA
GeneID:116408724,slc37a1,NA,NA
GeneID:100335085,t2r36,NA,NA
GeneID:116406734,uxt,NA,NA
GeneID:105948016,c7h10orf95,NA,NA
GeneID:100497887,bean1,NA,NA
GeneID:116408310,cxcl13,NA,NA
GeneID:116408217,rnf183,NA,NA
GeneID:100496802,cyp1c1,NA,NA
GeneID:116410488,hdac11,NA,NA
GeneID:116410885,gnmt,NA,NA
GeneID:101733176,micalcl,NA,NA
GeneID:116411090,tmem207,NA,NA
GeneID:101730689,cenpw,NA,NA
GeneID:100335094,t2r47,NA,NA
GeneID:116409763,cspg4,NA,NA
GeneID:108648144,tnfrsf4,NA,NA
GeneID:100493059,evi2a,NA,NA
GeneID:100496683,il12rb1,NA,NA
GeneID:101734041,ddn,NA,NA
GeneID:101734554,c7h11orf88,NA,NA
GeneID:100493955,sct,NA,NA
GeneID:101733122,c5h1orf115,NA,NA
GeneID:100495843,crisp2-like,NA,NA
GeneID:101734894,tnfrsf17,NA,NA
GeneID:105948553,tmem265,NA,NA
GeneID:116407511,hoxd4,NA,NA
GeneID:100498531,arhgef18,NA,NA
GeneID:101732290,nrip2,NA,NA
GeneID:100489231,cacna1b,NA,NA
GeneID:100335077,t2r26,NA,NA
GeneID:101732426,tcf24,NA,NA
GeneID:100485425,c4h3orf84,NA,NA
GeneID:100335096,t2r49,NA,NA
GeneID:100496864,plac9,NA,NA
GeneID:116409862,polr2a,NA,NA
GeneID:100496075,ccdc88b,NA,NA
GeneID:116412320,fam131c,NA,NA
GeneID:100487418,bad,NA,NA
GeneID:100485029,tac3,NA,NA
GeneID:116408866,nms,NA,NA
GeneID:100498010,btbd18,NA,NA
GeneID:101733444,armh1,NA,NA
GeneID:116409850,tsc22d4,NA,NA
GeneID:101734866,exoc3l4,NA,NA
GeneID:116410978,gfral,NA,NA
GeneID:100335043,hba-l4,NA,NA
GeneID:101730979,erich2,NA,NA
GeneID:116409829,tnfsf14,NA,NA
GeneID:116410234,akip1,NA,NA
GeneID:101732318,c4h3orf14,NA,NA
GeneID:101732072,c8h6orf47,NA,NA
GeneID:100495112,KIAA1755,NA,NA
GeneID:100485299,dnhd1,NA,NA
GeneID:116407985,ntsr1,NA,NA
GeneID:100498330,arap1,NA,NA
GeneID:101731920,cmc4,NA,NA
GeneID:116409679,isx,NA,NA
GeneID:110386950,slc2a11l2,NA,NA
GeneID:100486438,ccer2,NA,NA
GeneID:101730566,nphp4,NA,NA
GeneID:100490247,coprs,NA,NA
GeneID:101732753,kcns2,NA,NA
GeneID:116411596,hoxa9,NA,NA
GeneID:100335093,t2r46,NA,NA
GeneID:101733338,c4h1orf146,NA,NA
GeneID:100494548,efcab12,NA,NA
GeneID:116409728,gprin1,NA,NA
GeneID:100335068,tas2r13,NA,NA
GeneID:116412069,smim35,NA,NA
GeneID:493462,ltb4dh,NA,NA
GeneID:100489046,shisa8,NA,NA
GeneID:100490095,ankfn1,NA,NA
GeneID:100498193,crocc2,NA,NA
GeneID:100493225,scimp,NA,NA
GeneID:548377,cyp2c37,NA,NA
GeneID:100487804,plk5,NA,NA
GeneID:100496582,syne4,NA,NA
GeneID:100496334,KIAA0408,NA,NA
GeneID:100335062,t2r9,NA,NA
GeneID:116409675,mpped1,NA,NA
GeneID:101734436,prodh2,NA,NA
GeneID:116407526,tlcd3b,NA,NA
GeneID:100485875,polr1g,NA,NA
GeneID:101734270,tigit,NA,NA
GeneID:116406559,rnf208,NA,NA
GeneID:100491969,frmpd2,NA,NA
GeneID:116406514,phf11,NA,NA
GeneID:100492277,troap,NA,NA
GeneID:101734403,ccdc74b,NA,NA
GeneID:116409735,ccdc38,NA,NA
GeneID:105947033,wnt7a,NA,NA
GeneID:116408871,crlf2,NA,NA
GeneID:100359366,xilr1,NA,NA
GeneID:101730350,tdh,NA,NA
GeneID:101735127,agap3,NA,NA
GeneID:100135416,gnrhr2/nmi,NA,NA
GeneID:116406629,ftsj1,NA,NA
GeneID:100495684,adpgk,NA,NA
