GeneID:100037855,XB-GENE-852586
GeneID:100037857,XB-GENE-961157
GeneID:100037858,XB-GENE-5941647
GeneID:100037859,XB-GENE-5839942
GeneID:100037860,XB-GENE-5955201
GeneID:100037861,XB-GENE-960432
GeneID:100037862,XB-GENE-952700
GeneID:100037864,XB-GENE-5769563
GeneID:100037865,XB-GENE-5996034
GeneID:100037866,XB-GENE-6454943
GeneID:100037867,XB-GENE-1009224
GeneID:100037868,XB-GENE-479083
GeneID:100037869,XB-GENE-956917
GeneID:100037870,XB-GENE-979723
GeneID:100037871,XB-GENE-941198
GeneID:100037872,XB-GENE-867509
GeneID:100037873,XB-GENE-963306
GeneID:100037874,XB-GENE-5821575
GeneID:100037875,XB-GENE-5851849
GeneID:100037876,XB-GENE-5856779
GeneID:100037877,XB-GENE-953121
GeneID:100037878,XB-GENE-978920
GeneID:100037879,XB-GENE-5752629
GeneID:100037880,XB-GENE-5798591
GeneID:100037881,XB-GENE-956400
GeneID:100037882,XB-GENE-960365
GeneID:100037883,XB-GENE-5831223
GeneID:100037884,XB-GENE-5823898
GeneID:100037885,XB-GENE-967059
GeneID:100037886,XB-GENE-494227
GeneID:100037887,XB-GENE-6257590
GeneID:100037888,XB-GENE-5799643
GeneID:100037889,XB-GENE-5767975
GeneID:100037890,XB-GENE-995975
GeneID:100037892,XB-GENE-5954792
GeneID:100037893,XB-GENE-489326
GeneID:100037894,XB-GENE-491247
GeneID:100037895,XB-GENE-974251
GeneID:100037897,XB-GENE-1016694
GeneID:100037898,XB-GENE-487933
GeneID:100037899,XB-GENE-485626
GeneID:100037900,XB-GENE-966887
GeneID:100037901,NA
GeneID:100037902,XB-GENE-1012688
GeneID:100037903,XB-GENE-22063274
GeneID:100037904,XB-GENE-491021
GeneID:100037905,XB-GENE-1009790
GeneID:100037906,XB-GENE-5738866
GeneID:100037907,XB-GENE-961613
GeneID:100037908,XB-GENE-495296
GeneID:100037909,XB-GENE-953000
GeneID:100037910,XB-GENE-959557
GeneID:100037911,XB-GENE-990173
GeneID:100037912,XB-GENE-942413
GeneID:100037913,XB-GENE-5740434
GeneID:100037914,XB-GENE-484627
GeneID:100037915,XB-GENE-5893530
GeneID:100037916,XB-GENE-5885684
GeneID:100037917,XB-GENE-969520
GeneID:100037918,XB-GENE-954377
GeneID:100037919,XB-GENE-487844
GeneID:100038034,XB-GENE-479074
GeneID:100038035,XB-GENE-479760
GeneID:100038036,XB-GENE-480884
GeneID:100038037,XB-GENE-481598
GeneID:100038038,XB-GENE-482368
GeneID:100038039,XB-GENE-482566
GeneID:100038040,XB-GENE-483370
GeneID:100038041,NA
GeneID:100038042,XB-GENE-486033
GeneID:100038043,XB-GENE-486491
GeneID:100038044,XB-GENE-486846
GeneID:100038045,XB-GENE-487087
GeneID:100038047,XB-GENE-492176
GeneID:100038048,XB-GENE-492646
GeneID:100038049,XB-GENE-493308
GeneID:100038050,XB-GENE-493422
GeneID:100038051,XB-GENE-853455
GeneID:100038052,XB-GENE-480836
GeneID:100038053,XB-GENE-482702
GeneID:100038054,XB-GENE-487802
GeneID:100038055,XB-GENE-855791
GeneID:100038056,XB-GENE-854532
GeneID:100038057,XB-GENE-478230
GeneID:100038058,XB-GENE-478462
GeneID:100038059,XB-GENE-478518
GeneID:100038060,XB-GENE-478771
GeneID:100038061,XB-GENE-981363
GeneID:100038062,XB-GENE-479011
GeneID:100038063,XB-GENE-479312
GeneID:100038065,XB-GENE-479769
GeneID:100038066,XB-GENE-479795
GeneID:100038067,XB-GENE-480249
GeneID:100038068,XB-GENE-480570
GeneID:100038069,XB-GENE-481028
GeneID:100038070,XB-GENE-481100
GeneID:100038071,XB-GENE-481219
GeneID:100038072,XB-GENE-481307
GeneID:100038073,XB-GENE-481474
GeneID:100038074,XB-GENE-481654
GeneID:100038075,XB-GENE-481670
GeneID:100038077,XB-GENE-482219
GeneID:100038078,XB-GENE-482248
GeneID:100038079,XB-GENE-482721
GeneID:100038081,XB-GENE-484162
GeneID:100038082,XB-GENE-484322
GeneID:100038083,XB-GENE-484400
GeneID:100038084,XB-GENE-484527
GeneID:100038085,XB-GENE-485204
GeneID:100038087,XB-GENE-485597
GeneID:100038088,XB-GENE-485691
GeneID:100038089,XB-GENE-485744
GeneID:100038090,XB-GENE-486138
GeneID:100038091,XB-GENE-486445
GeneID:100038092,XB-GENE-486532
GeneID:100038093,XB-GENE-486576
GeneID:100038094,XB-GENE-486951
GeneID:100038095,XB-GENE-487210
GeneID:100038096,XB-GENE-487236
GeneID:100038097,XB-GENE-487318
GeneID:100038098,XB-GENE-487684
GeneID:100038099,XB-GENE-488087
GeneID:100038100,XB-GENE-488230
GeneID:100038101,XB-GENE-488758
GeneID:100038102,XB-GENE-488895
GeneID:100038103,XB-GENE-489238
GeneID:100038104,XB-GENE-489355
GeneID:100038105,XB-GENE-489416
GeneID:100038107,XB-GENE-489743
GeneID:100038108,XB-GENE-22063827
GeneID:100038109,XB-GENE-490341
GeneID:100038110,XB-GENE-490420
GeneID:100038111,XB-GENE-490443
GeneID:100038112,XB-GENE-490827
GeneID:100038113,XB-GENE-490846
GeneID:100038114,XB-GENE-491002
GeneID:100038115,XB-GENE-491129
GeneID:100038116,XB-GENE-491338
GeneID:100038117,XB-GENE-491475
GeneID:100038118,XB-GENE-491733
GeneID:100038119,XB-GENE-491884
GeneID:100038120,XB-GENE-492287
GeneID:100038121,XB-GENE-492315
GeneID:100038122,XB-GENE-492434
GeneID:100038123,XB-GENE-492543
GeneID:100038124,XB-GENE-492665
GeneID:100038125,XB-GENE-492753
GeneID:100038126,XB-GENE-492953
GeneID:100038127,XB-GENE-492963
GeneID:100038128,XB-GENE-493431
GeneID:100038129,XB-GENE-493511
GeneID:100038130,XB-GENE-493540
GeneID:100038131,XB-GENE-493656
GeneID:100038134,XB-GENE-494053
GeneID:100038135,XB-GENE-494377
GeneID:100038136,XB-GENE-494566
GeneID:100038137,XB-GENE-494676
GeneID:100038138,XB-GENE-494960
GeneID:100038139,XB-GENE-495111
GeneID:100038141,XB-GENE-852757
GeneID:100038142,XB-GENE-852930
GeneID:100038143,XB-GENE-853324
GeneID:100038144,XB-GENE-853609
GeneID:100038145,XB-GENE-854592
GeneID:100038146,XB-GENE-854737
GeneID:100038147,XB-GENE-854791
GeneID:100038148,XB-GENE-854937
GeneID:100038149,XB-GENE-855803
GeneID:100038150,XB-GENE-856231
GeneID:100038151,XB-GENE-478280
GeneID:100038152,XB-GENE-481495
GeneID:100038154,XB-GENE-478236
GeneID:100038155,XB-GENE-478525
GeneID:100038156,XB-GENE-482111
GeneID:100038157,XB-GENE-483630
GeneID:100038158,XB-GENE-488852
GeneID:100038159,XB-GENE-490490
GeneID:100038160,XB-GENE-491156
GeneID:100038161,XB-GENE-492360
GeneID:100038162,XB-GENE-494465
GeneID:100038163,XB-GENE-495448
GeneID:100038164,XB-GENE-853412
GeneID:100038165,XB-GENE-855756
GeneID:100038167,XB-GENE-479751
GeneID:100038168,XB-GENE-480112
GeneID:100038169,XB-GENE-481210
GeneID:100038170,XB-GENE-482455
GeneID:100038171,XB-GENE-483049
GeneID:100038172,XB-GENE-483750
GeneID:100038173,XB-GENE-486410
GeneID:100038174,XB-GENE-486525
GeneID:100038176,XB-GENE-489917
