#NCBI-GeneID,XB-GENE-ID,GENE_SYMBOL
GeneID:100145369,XB-GENE-5794248,rflcii
GeneID:100145370,XB-GENE-1013355,gpr132
GeneID:100145371,XB-GENE-983329,cast
GeneID:100145416,XB-GENE-1010975,chodl
GeneID:100145417,XB-GENE-991069,KIAA1191
GeneID:100145418,XB-GENE-996211,creb3l2
GeneID:100145419,XB-GENE-5856158,LOC100145419
GeneID:100145420,XB-GENE-978135,cd93
GeneID:100145421,XB-GENE-969887,lrrc8d
GeneID:100145422,XB-GENE-6459211,trdn
GeneID:100145423,XB-GENE-1011250,msra
GeneID:100145424,XB-GENE-943584,tamalin
GeneID:100145425,XB-GENE-997265,smc1b
GeneID:100145426,XB-GENE-6455532,lrrc73
GeneID:100145427,XB-GENE-978578,taok3
GeneID:100145428,XB-GENE-5740126,LOC100145428
GeneID:100145429,XB-GENE-978314,smyd1
GeneID:100145434,XB-GENE-478374,ptprd
GeneID:100145435,XB-GENE-966858,setx
GeneID:100145436,XB-GENE-993664,amotl1
GeneID:100145437,XB-GENE-1004479,oga
GeneID:100145438,XB-GENE-974036,paxbp1
GeneID:100145439,XB-GENE-5797146,tmem65
GeneID:100145440,XB-GENE-996131,atp1a3
GeneID:100145441,XB-GENE-982285,tbl1x
GeneID:100145442,XB-GENE-5760649,LOC100145442
GeneID:100145443,XB-GENE-22065646,tsnare1l
GeneID:100145444,XB-GENE-5961068,osbpl8
GeneID:100145445,XB-GENE-5920691,islr2
GeneID:100145446,XB-GENE-5818700,LOC100145446
GeneID:100145447,XB-GENE-5760738,dyrk1a.2
GeneID:100145448,XB-GENE-5808393,nxph1
GeneID:100145449,XB-GENE-5773399,adra2c
GeneID:100145450,NA,LOC100145450
GeneID:100145451,XB-GENE-5718163,dnaja3
GeneID:100145452,XB-GENE-5961160,tasor
GeneID:100145453,XB-GENE-950334,fam185a
GeneID:100145454,XB-GENE-1011801,gucy1a2
GeneID:100145455,XB-GENE-5872143,cep120
GeneID:100145456,XB-GENE-994935,ntmt1
GeneID:100145457,XB-GENE-979112,smap1
GeneID:100145458,XB-GENE-5945117,pigo
GeneID:100145459,XB-GENE-956710,cnnm2
GeneID:100145460,XB-GENE-5799124,cc2d1a
GeneID:100145461,XB-GENE-5959428,znf865
GeneID:100145462,XB-GENE-967044,ccdc81
GeneID:100145463,XB-GENE-6459157,nup214
GeneID:100145464,XB-GENE-5842289,ccdc138
GeneID:100145465,XB-GENE-972060,ccdc68
GeneID:100145466,XB-GENE-6257625,nfkbie
GeneID:100145467,XB-GENE-976087,top3b
GeneID:100145468,XB-GENE-972602,wdr36
GeneID:100145469,XB-GENE-995439,stag3
GeneID:100145470,XB-GENE-5829484,LOC100145470
GeneID:100145471,XB-GENE-946996,timm44
GeneID:100145472,XB-GENE-991292,ctps2
GeneID:100145473,NA,LOC100145473
GeneID:100145474,XB-GENE-5873019,foxred2
GeneID:100145475,XB-GENE-5878274,tgm6
GeneID:100145476,XB-GENE-1007137,psip1
GeneID:100145477,XB-GENE-953756,gpr107
GeneID:100145478,XB-GENE-6492000,megs
GeneID:100145479,XB-GENE-6455519,mapre2
GeneID:100145480,XB-GENE-945791,dipk2a
GeneID:100145481,XB-GENE-5846020,naa40
GeneID:100145482,XB-GENE-971835,nadsyn1
GeneID:100145483,XB-GENE-877088,slk
GeneID:100145484,XB-GENE-967375,clhc1
GeneID:100145485,XB-GENE-956252,ndor1
GeneID:100145486,XB-GENE-5854345,LOC100145486
GeneID:100145487,XB-GENE-1002083,ankib1
GeneID:100145488,XB-GENE-5726702,fbxw9
GeneID:100145489,XB-GENE-6257775,gna13
GeneID:100145490,XB-GENE-949399,xylt1
GeneID:100145491,XB-GENE-985960,mlycd
GeneID:100145492,XB-GENE-983205,plekhb2
GeneID:100145493,NA,LOC100145493
GeneID:100145494,XB-GENE-6459081,zswim9
GeneID:100145495,XB-GENE-5960680,syt16
GeneID:100145496,XB-GENE-5760633,LOC100145496
GeneID:100145497,XB-GENE-5945653,tdrkh
GeneID:100145498,XB-GENE-1000119,eml5
GeneID:100145499,XB-GENE-489705,smg1
GeneID:100145501,XB-GENE-6462776,siglecl2
GeneID:100145502,XB-GENE-5807444,igf3
GeneID:100145503,XB-GENE-5872721,LOC100145503
GeneID:100145504,XB-GENE-958681,kcnk6
GeneID:100145505,XB-GENE-977551,cnot6l
GeneID:100145506,XB-GENE-22065084,dppa2
GeneID:100145507,XB-GENE-5835884,acd
GeneID:100145508,XB-GENE-5827396,mhc2-dab
GeneID:100145509,XB-GENE-996894,bcl2l14
GeneID:100145510,XB-GENE-1014055,caprin2
GeneID:100145511,XB-GENE-5830282,gad1.2
GeneID:100145512,XB-GENE-995988,tymp
GeneID:100145513,XB-GENE-980327,dnai3
GeneID:100145514,XB-GENE-5873552,ccdc63
GeneID:100145515,XB-GENE-5793598,LOC100145515
GeneID:100145516,XB-GENE-22069496,steap4.2
GeneID:100145518,XB-GENE-5871724,b4galt1.1
GeneID:100145519,XB-GENE-5752937,ythdf3
GeneID:100145520,XB-GENE-946195,prkaa1
GeneID:100145521,XB-GENE-5955488,rab44
GeneID:100145522,XB-GENE-950965,rhoh
GeneID:100145523,XB-GENE-6085118,col6a2
GeneID:100145524,XB-GENE-6455482,wee1
GeneID:100145525,XB-GENE-5880628,msto1
GeneID:100145526,XB-GENE-6054594,pnlip
GeneID:100145527,XB-GENE-5885309,LOC100145527
GeneID:100145528,XB-GENE-990730,lsg1
GeneID:100145529,XB-GENE-877321,pla2g1b
GeneID:100145530,XB-GENE-5943784,fam20a
GeneID:100145531,XB-GENE-5900553,LOC100145531
GeneID:100145533,XB-GENE-5842390,LOC100145533
GeneID:100145534,XB-GENE-974186,trip4
GeneID:100145536,XB-GENE-22061758,cgl.1
GeneID:100145537,XB-GENE-5949648,adam28.2
GeneID:100145538,XB-GENE-982868,retreg1
GeneID:100145539,XB-GENE-997956,faah.3
GeneID:100145540,XB-GENE-1009102,rxylt1
GeneID:100145541,XB-GENE-5919980,LOC100145541
GeneID:100145542,XB-GENE-5737363,cox19
GeneID:100145543,XB-GENE-5961467,tmco6
GeneID:100145544,XB-GENE-964688,tm4sf20
GeneID:100145545,XB-GENE-980821,trmt2a
GeneID:100145546,XB-GENE-950595,cpsf2
GeneID:100145547,XB-GENE-5788421,zbtb8b
GeneID:100145548,XB-GENE-989370,rimkla
GeneID:100145549,XB-GENE-1007328,stk40
GeneID:100145550,XB-GENE-949332,ivns1abp
GeneID:100145551,XB-GENE-995554,mgat5
GeneID:100145552,XB-GENE-986815,ercc4
GeneID:100145553,XB-GENE-5962435,nectin1l2.2
GeneID:100145555,XB-GENE-6087118,rag1
GeneID:100145557,XB-GENE-5850297,ufsp2
GeneID:100145558,XB-GENE-1010338,mapk15
GeneID:100145559,XB-GENE-969249,xpnpep2
GeneID:100145560,XB-GENE-1003881,filip1
GeneID:100145561,XB-GENE-5863426,hdac8
GeneID:100145562,XB-GENE-5953192,hs2st1
GeneID:100145563,XB-GENE-5881808,dnttip1
GeneID:100145565,XB-GENE-961786,rexo1
GeneID:100145566,XB-GENE-999004,trabd
GeneID:100145568,XB-GENE-868499,diaph3
GeneID:100145569,XB-GENE-6455475,yipf3
GeneID:100145570,XB-GENE-5931079,uts2b
GeneID:100145572,XB-GENE-947864,ctse
GeneID:100145573,XB-GENE-5884137,tmtc3
GeneID:100145574,XB-GENE-992668,hao1
GeneID:100145575,XB-GENE-980539,thoc2
GeneID:100145576,XB-GENE-22167169,rchy1l
GeneID:100145578,XB-GENE-949744,tcim
GeneID:100145580,XB-GENE-1011708,gpatch3
GeneID:100145581,XB-GENE-6077411,kcnn2
GeneID:100145582,XB-GENE-960171,abcc1
GeneID:100145583,XB-GENE-5823861,pip5k1c
GeneID:100145584,XB-GENE-984263,ankzf1
GeneID:100145587,XB-GENE-999052,hypk
GeneID:100145588,XB-GENE-5847062,zbtb46
GeneID:100145589,XB-GENE-5789711,gpatch8
GeneID:100145590,XB-GENE-981052,fat4
GeneID:100145591,XB-GENE-978910,gstz1
GeneID:100145592,XB-GENE-964323,fundc1
GeneID:100145593,XB-GENE-6257661,ripply3
GeneID:100145594,XB-GENE-5866431,mgat4d
GeneID:100145595,XB-GENE-1005798,tmem44
GeneID:100145596,XB-GENE-966104,ankdd1b
GeneID:100145597,XB-GENE-5784936,ddost
GeneID:100145598,XB-GENE-5948033,ppp1ca
GeneID:100145599,XB-GENE-6257701,gpx8
GeneID:100145600,XB-GENE-6450126,pbrm1
GeneID:100145601,XB-GENE-5916363,abt1
GeneID:100145602,XB-GENE-964334,egln3
GeneID:100145603,XB-GENE-5883501,endoul
GeneID:100145604,XB-GENE-954066,pttg1ip
GeneID:100145605,XB-GENE-5767949,txnrd2
GeneID:100145606,XB-GENE-992084,adgrd2
GeneID:100145607,XB-GENE-976411,kctd9
GeneID:100145608,XB-GENE-5865694,ubfd1
GeneID:100145609,XB-GENE-1012421,pank4
GeneID:100145610,XB-GENE-972033,use1
GeneID:100145611,XB-GENE-22062185,slc26a4l
GeneID:100145612,XB-GENE-5799169,KIAA1328
GeneID:100145613,XB-GENE-5783471,sntb2
GeneID:100145614,XB-GENE-976948,tex26
GeneID:100145615,XB-GENE-997342,pfdn2
GeneID:100145616,XB-GENE-996947,strap
GeneID:100145617,XB-GENE-950297,cpox
GeneID:100145618,XB-GENE-993318,rtkn2
GeneID:100145619,XB-GENE-997413,col9a3
GeneID:100145620,XB-GENE-945577,cryl1
GeneID:100145621,XB-GENE-993696,aspg
GeneID:100145623,XB-GENE-6458996,cd99l2
GeneID:100145624,XB-GENE-958269,morc1
GeneID:100145625,XB-GENE-22172432,alg13
GeneID:100145626,XB-GENE-1008841,hsd3b7
GeneID:100145627,XB-GENE-6492080,shroom1
GeneID:100145628,XB-GENE-6458018,zc3h4
GeneID:100145629,XB-GENE-991259,xpc
GeneID:100145630,XB-GENE-984733,ermp1
GeneID:100145631,XB-GENE-962704,sass6.2
GeneID:100145633,NA,pom121
GeneID:100145634,XB-GENE-5952633,c4h1orf112
GeneID:100145635,XB-GENE-1008072,unc13d
GeneID:100145636,XB-GENE-6455449,ptdss1
GeneID:100145637,XB-GENE-5956642,syne1
GeneID:100145638,XB-GENE-989058,opa1
GeneID:100145639,XB-GENE-986638,msh6
GeneID:100145640,XB-GENE-5914008,mbd5
GeneID:100145641,XB-GENE-5944438,adam15
GeneID:100145642,XB-GENE-5896977,cyp7b1
GeneID:100145643,XB-GENE-994913,clpb
GeneID:100145644,XB-GENE-1014172,ilk
GeneID:100145645,XB-GENE-1002180,exoc1
GeneID:100145646,XB-GENE-5750931,parg
GeneID:100145647,XB-GENE-987849,iars2
GeneID:100145648,XB-GENE-6458325,fsip1
GeneID:100145649,XB-GENE-973791,fbxo21
GeneID:100145650,XB-GENE-1006797,cyp17a1
GeneID:100145651,XB-GENE-6258647,bud13
GeneID:100145652,XB-GENE-988703,ptbp3
GeneID:100145653,XB-GENE-1001604,ndst3
GeneID:100145654,XB-GENE-5763564,bend4
GeneID:100145655,XB-GENE-1012674,gas7
GeneID:100145656,XB-GENE-958332,pwwp2a
GeneID:100145657,XB-GENE-961035,tbc1d13
GeneID:100145658,XB-GENE-980391,hydin
GeneID:100145659,XB-GENE-5814345,rapgef2
GeneID:100145660,XB-GENE-996553,pm20d1
GeneID:100145661,XB-GENE-980345,ddah1
GeneID:100145662,XB-GENE-877136,cul9
GeneID:100145663,XB-GENE-985071,relch
GeneID:100145664,XB-GENE-6259084,numa1
GeneID:100145665,XB-GENE-1004082,dmxl2
GeneID:100145667,XB-GENE-5811499,edem3
GeneID:100145668,XB-GENE-6037892,clstn1
GeneID:100145669,XB-GENE-1004600,msn
GeneID:100145670,XB-GENE-1000486,fbxw7
GeneID:100145671,XB-GENE-957583,smc3
GeneID:100145673,XB-GENE-5893460,cspg4b
GeneID:100145674,XB-GENE-5807809,sde2
GeneID:100145675,XB-GENE-989206,nsd1
GeneID:100145676,XB-GENE-992970,nktr
GeneID:100145677,XB-GENE-959763,lats1
GeneID:100145678,XB-GENE-992259,snx1
GeneID:100145679,XB-GENE-989003,sirt1
GeneID:100145680,XB-GENE-6052300,aggf1
GeneID:100145681,XB-GENE-5721494,sirt3.2
GeneID:100145682,XB-GENE-985220,pan2
GeneID:100145683,XB-GENE-5749621,il15
GeneID:100145684,XB-GENE-22201458,il21
GeneID:100145685,XB-GENE-1008562,mgme1
GeneID:100145686,XB-GENE-986464,kif3a
GeneID:100145687,XB-GENE-6084129,ets2
GeneID:100145688,XB-GENE-948726,lonp2
GeneID:100145689,XB-GENE-6085196,cog4
GeneID:100145690,XB-GENE-966649,rhpn2
GeneID:100145691,XB-GENE-968254,taf2
GeneID:100145692,XB-GENE-968700,rpe65
GeneID:100145693,XB-GENE-979300,lbr
GeneID:100145694,XB-GENE-5902381,s1pr5
GeneID:100145695,XB-GENE-5903934,cyp2a6.1
GeneID:100145696,XB-GENE-6087270,abcf3
GeneID:100145697,XB-GENE-5723238,ccdc51
GeneID:100145698,XB-GENE-948354,snx9
GeneID:100145699,XB-GENE-5817381,hk2
GeneID:100145700,XB-GENE-964548,mastl
GeneID:100145701,XB-GENE-996589,b3gnt3.2
GeneID:100145702,XB-GENE-5954822,kif19
GeneID:100145703,XB-GENE-968418,hunk
GeneID:100145704,XB-GENE-5813327,lgals9
GeneID:100145705,XB-GENE-5754486,cgnl1
GeneID:100145706,XB-GENE-992239,vipas39
GeneID:100145707,XB-GENE-941616,ddx56
GeneID:100145708,XB-GENE-992300,ptger4
GeneID:100145709,XB-GENE-1005985,snx11
GeneID:100145710,XB-GENE-980472,cnrip1
GeneID:100145711,XB-GENE-5775581,has2
GeneID:100145712,XB-GENE-5873721,pyroxd1
GeneID:100145713,XB-GENE-5871815,ckap5
GeneID:100145714,XB-GENE-6449994,haus5
GeneID:100145715,XB-GENE-944996,eif2a
GeneID:100145716,XB-GENE-959336,med22
GeneID:100145717,XB-GENE-6455424,timmdc1
GeneID:100145718,XB-GENE-5925331,dis3
GeneID:100145719,XB-GENE-5808159,hal.1
GeneID:100145720,XB-GENE-1014077,rrm1
GeneID:100145721,XB-GENE-991673,mmel1
GeneID:100145722,XB-GENE-5829718,tasp1
GeneID:100145723,XB-GENE-1008472,tigar
GeneID:100145724,XB-GENE-958351,fkbp8
GeneID:100145725,XB-GENE-985202,suox
GeneID:100145726,XB-GENE-5749883,maoa
GeneID:100145727,XB-GENE-976670,grk7
GeneID:100145728,XB-GENE-956892,bbox1
GeneID:100145729,XB-GENE-1002530,poglut3
GeneID:100145730,XB-GENE-987679,kcnj16
GeneID:100145731,XB-GENE-5838849,pla2g4a
GeneID:100145732,XB-GENE-988955,tcp11l2
GeneID:100145733,XB-GENE-989094,smoc1
GeneID:100145734,XB-GENE-1012292,fam78a
GeneID:100145735,XB-GENE-5957361,mettl24
GeneID:100145736,XB-GENE-854632,znf277
GeneID:100145737,XB-GENE-959844,senp8
GeneID:100145738,XB-GENE-985885,aasdhppt
GeneID:100145739,XB-GENE-5870378,slc6a19
GeneID:100145740,XB-GENE-984093,nol9
GeneID:100145741,XB-GENE-942644,tceanc
GeneID:100145742,XB-GENE-5959761,mios
GeneID:100145743,XB-GENE-5732281,LOC100145743
GeneID:100145744,XB-GENE-941501,pkdcc.2
GeneID:100145745,XB-GENE-943630,acot9
GeneID:100145746,XB-GENE-961588,has1
GeneID:100145748,XB-GENE-6459063,kmt5c
GeneID:100145749,XB-GENE-980556,vbp1
GeneID:100145750,XB-GENE-5789660,gdpd5
GeneID:100145751,XB-GENE-5942350,LOC100145751
GeneID:100145752,XB-GENE-987874,rab3gap2
GeneID:100145753,XB-GENE-5912847,helz
GeneID:100145754,XB-GENE-6459248,usf3
GeneID:100145756,XB-GENE-6454074,arc3
GeneID:100145757,XB-GENE-5723194,evi5l
GeneID:100145758,XB-GENE-981097,cit
GeneID:100145759,XB-GENE-5960602,mettl22
GeneID:100145760,XB-GENE-947505,btbd9
GeneID:100145761,XB-GENE-994178,rapgefl1
GeneID:100145762,XB-GENE-1007923,lama5
GeneID:100145763,XB-GENE-5767035,LOC100145763
GeneID:100145764,NA,LOC100145764
GeneID:100145765,XB-GENE-980030,fam151a
GeneID:100145766,XB-GENE-1001138,lct.2
GeneID:100145767,XB-GENE-1008596,gla
GeneID:100145768,XB-GENE-970576,tmem59
GeneID:100145769,XB-GENE-996679,pigb
GeneID:100145770,XB-GENE-1002397,hexb
GeneID:100145771,XB-GENE-961470,slc46a1
GeneID:100145772,XB-GENE-5896669,fam177b
GeneID:100145774,XB-GENE-5922622,noxo1.2
GeneID:100145775,XB-GENE-988355,carmil1
GeneID:100145776,XB-GENE-963936,abcg5
GeneID:100145777,XB-GENE-964315,c2hxorf38
GeneID:100145778,XB-GENE-948670,usb1
GeneID:100145779,NA,LOC100145779
GeneID:100145780,XB-GENE-966330,vipr2
GeneID:100145781,XB-GENE-944757,lhfpl6
GeneID:100145782,XB-GENE-5845013,LOC100145782
GeneID:100145783,XB-GENE-966285,abhd6
GeneID:100145785,XB-GENE-1001711,mettl17
GeneID:100145786,XB-GENE-5806252,cipc
GeneID:100145787,XB-GENE-5776192,aldh3b2
GeneID:100145788,XB-GENE-975034,prmt5
GeneID:100145789,NA,LOC100145789
GeneID:100145790,XB-GENE-5795358,hs3st5
GeneID:100145792,XB-GENE-952722,gtf2h3
GeneID:100145793,XB-GENE-997099,gsr
GeneID:100145794,XB-GENE-5867879,inpp5a.2
GeneID:100145795,XB-GENE-6050518,gbp6
GeneID:100145796,XB-GENE-6455415,xpnpep1
GeneID:100145797,XB-GENE-5854149,stx10
GeneID:100145798,XB-GENE-969853,pkmyt1
GeneID:100145799,XB-GENE-5799207,tnfrsf6b
GeneID:100145800,XB-GENE-5953796,pnkp
GeneID:100145801,XB-GENE-1013787,pdzk1
GeneID:100145802,XB-GENE-967812,lrrc47
GeneID:100145803,XB-GENE-987109,parp3
GeneID:100145804,XB-GENE-5802152,qars1
GeneID:100145805,XB-GENE-5797365,neurl3
GeneID:100145806,XB-GENE-990152,dffb
GeneID:100145807,XB-GENE-5788276,dhdh
GeneID:100145808,XB-GENE-6067268,hook3
GeneID:100145809,XB-GENE-944351,papola
GeneID:100145810,XB-GENE-5865855,smc4
GeneID:100145811,XB-GENE-5886876,tctn1
GeneID:100145813,XB-GENE-1010662,kcna3
GeneID:100145814,XB-GENE-5897849,srgap2
GeneID:100145815,XB-GENE-1012630,rev3l
GeneID:100145816,XB-GENE-5805754,tm2d3
GeneID:100145817,NA,LOC100145817
GeneID:100147705,XB-GENE-989732,hmgxb3
GeneID:100151699,XB-GENE-481326,e2f5
GeneID:100151700,XB-GENE-481363,nfe2l1
GeneID:100151701,XB-GENE-485564,grb10
GeneID:100151702,XB-GENE-486306,per2
GeneID:100151703,XB-GENE-486605,tlr7
GeneID:100151704,XB-GENE-487626,prkd1
GeneID:100151705,XB-GENE-491199,taf11
GeneID:100151706,XB-GENE-492559,sh3kbp1
GeneID:100151707,XB-GENE-853117,tm4sf1
GeneID:100151708,XB-GENE-853892,cebpz
GeneID:100151709,XB-GENE-867542,ext2
GeneID:100151710,XB-GENE-921456,sez6l2
GeneID:100151711,XB-GENE-940546,hspb7
GeneID:100151712,XB-GENE-951659,cdh2
GeneID:100151713,XB-GENE-956338,ripply2.1
GeneID:100151714,XB-GENE-963628,cul4b
GeneID:100151715,XB-GENE-964622,baz2b
GeneID:100151716,XB-GENE-965562,dnmt1
GeneID:100151717,XB-GENE-982578,dusp11
GeneID:100151718,XB-GENE-995086,cfap91
GeneID:100151719,XB-GENE-1014141,ribc2
GeneID:100151720,XB-GENE-1217280,znf800
GeneID:100151721,XB-GENE-1217676,fbn3
GeneID:100151722,XB-GENE-1217730,ncam2
GeneID:100151723,XB-GENE-487261,socs2
GeneID:100151724,XB-GENE-853128,pknox2
GeneID:100151725,XB-GENE-940853,snrnp35
GeneID:100151726,XB-GENE-986315,mtmr4
GeneID:100151727,XB-GENE-1219309,lrig3
GeneID:100151728,XB-GENE-479960,casp3.2
GeneID:100151729,XB-GENE-482267,hoxa3
GeneID:100151730,XB-GENE-482901,arl6ip5
GeneID:100151731,XB-GENE-486685,prkch
GeneID:100151732,XB-GENE-487749,slc9a7
GeneID:100151733,XB-GENE-492379,hnrnpll
GeneID:100151734,XB-GENE-492600,adamts1
GeneID:100151735,XB-GENE-853203,aplp1
GeneID:100151736,XB-GENE-876768,hnrnph3
GeneID:100151737,XB-GENE-921561,sema3b
GeneID:100151738,XB-GENE-1013572,kcnh5
GeneID:100158459,XB-GENE-5956457,LOC100158459
GeneID:100158460,XB-GENE-996306,arhgef10l
GeneID:100158470,XB-GENE-964811,acsf3
GeneID:100158499,XB-GENE-1010726,prkag2
GeneID:100158500,XB-GENE-5949672,retsat
GeneID:100158501,XB-GENE-6459218,sp110
GeneID:100158502,XB-GENE-952814,prnp
GeneID:100158503,XB-GENE-986015,asz1
GeneID:100158504,XB-GENE-991601,pgm3
GeneID:100158505,XB-GENE-955041,picalml
GeneID:100158506,XB-GENE-1010206,cps1
GeneID:100158507,XB-GENE-5909149,tead1
GeneID:100158511,XB-GENE-5794232,siglecl1
GeneID:100158512,XB-GENE-960675,usp53
GeneID:100158513,XB-GENE-1012347,ptpra
GeneID:100158514,XB-GENE-6449731,syn1
GeneID:100158515,XB-GENE-992144,sertad3
GeneID:100158516,XB-GENE-5849176,retreg2
GeneID:100158517,XB-GENE-967658,kctd4
GeneID:100158518,XB-GENE-5968416,sfpq
GeneID:100158519,XB-GENE-1011009,pik3cg
GeneID:100158520,XB-GENE-5845745,carmil3
GeneID:100158521,XB-GENE-995022,cacnb1
GeneID:100158522,XB-GENE-5871635,ptprn
GeneID:100158523,XB-GENE-1006155,stag1
GeneID:100158524,XB-GENE-969312,dzank1
GeneID:100158526,XB-GENE-1004945,trpa1
GeneID:100158527,XB-GENE-987810,cd2ap
GeneID:100158528,XB-GENE-955133,baiap2
GeneID:100158529,XB-GENE-6257670,pogz
GeneID:100158530,XB-GENE-5922834,zer1
GeneID:100158531,XB-GENE-1002078,krit1
GeneID:100158532,XB-GENE-945780,ropn1l
GeneID:100158533,XB-GENE-1006640,acsbg2
GeneID:100158534,XB-GENE-5802331,cse1l
GeneID:100158535,XB-GENE-949390,nomo3
GeneID:100158536,XB-GENE-984900,ap1b1
GeneID:100158537,XB-GENE-5764934,fbxo47
GeneID:100158539,XB-GENE-6071044,trip12
GeneID:100158540,XB-GENE-1011086,rarres1
GeneID:100158541,XB-GENE-942022,ahcyl1
GeneID:100158542,XB-GENE-994344,trim24
GeneID:100158543,XB-GENE-995306,ephx1
GeneID:100158544,XB-GENE-5950142,LOC100158544
GeneID:100158545,XB-GENE-5889203,ttll5
GeneID:100158546,XB-GENE-6087000,cnot3
GeneID:100158547,XB-GENE-5929177,skic3
GeneID:100158548,XB-GENE-1007587,vps18
GeneID:100158549,XB-GENE-992650,nfix
GeneID:100158550,XB-GENE-5862235,nme9
GeneID:100158551,XB-GENE-980884,rexo5
GeneID:100158552,XB-GENE-6054064,kansl3
GeneID:100158553,XB-GENE-1009178,dhx34
GeneID:100158555,XB-GENE-5889699,cfap74
GeneID:100158556,XB-GENE-940730,antxr2
GeneID:100158557,XB-GENE-5737452,larp1b
GeneID:100158558,XB-GENE-5955289,esco2
GeneID:100158559,XB-GENE-1010876,arhgap11a.1
GeneID:100158560,XB-GENE-1003853,nsmaf
GeneID:100158561,XB-GENE-1010783,dpysl2
GeneID:100158562,XB-GENE-989762,copa
GeneID:100158563,XB-GENE-6257709,pwp2
GeneID:100158564,XB-GENE-970289,dennd5a
GeneID:100158565,XB-GENE-6458830,tasor2
GeneID:100158566,XB-GENE-984553,ppfia1
GeneID:100158567,XB-GENE-988009,phip
GeneID:100158568,XB-GENE-990677,pstk
GeneID:100158569,XB-GENE-950912,lrrfip2
GeneID:100158570,XB-GENE-993581,spice1
GeneID:100158571,XB-GENE-958345,tmem59l
GeneID:100158572,XB-GENE-950270,nnt
GeneID:100158573,XB-GENE-6454322,upf2
GeneID:100158574,XB-GENE-991783,mllt1
GeneID:100158575,XB-GENE-1000778,josd1
GeneID:100158576,XB-GENE-5812193,plpp5
GeneID:100158577,XB-GENE-989880,nptx1
GeneID:100158578,XB-GENE-981983,stard7
GeneID:100158579,XB-GENE-6456431,ctc1
GeneID:100158580,XB-GENE-1009578,itga2b.1
GeneID:100158581,XB-GENE-967840,ptpn9
GeneID:100158582,XB-GENE-948345,capn9
GeneID:100158584,XB-GENE-5887160,tox3
GeneID:100158585,XB-GENE-22060960,krt53
GeneID:100158586,XB-GENE-5771787,tmtc4
GeneID:100158587,XB-GENE-990630,aste1
GeneID:100158588,XB-GENE-991208,depdc1b
GeneID:100158589,XB-GENE-993904,srp68
GeneID:100158590,XB-GENE-990620,lcp2
GeneID:100158591,XB-GENE-962004,ptgfr
GeneID:100158592,XB-GENE-988200,tm6sf2
GeneID:100158593,XB-GENE-985080,wrnip1
GeneID:100158594,XB-GENE-959856,pomgnt1
GeneID:100158595,XB-GENE-5721469,LOC100158595
GeneID:100158596,XB-GENE-985321,acsbg1
GeneID:100158597,XB-GENE-1012408,rpe
GeneID:100158598,XB-GENE-994555,rexo2
GeneID:100158599,XB-GENE-1005591,myo1e
GeneID:100158600,XB-GENE-970546,vps4a
GeneID:100158601,XB-GENE-5857845,mcm3
GeneID:100158602,XB-GENE-5821001,efcab5
GeneID:100158603,XB-GENE-960645,nln
GeneID:100158604,XB-GENE-1008519,usp15
GeneID:100158605,XB-GENE-5857794,nuak2
GeneID:100158606,XB-GENE-1008007,dnajc21
GeneID:100158607,XB-GENE-982997,tmem223
GeneID:100158608,XB-GENE-5956224,znf684
GeneID:100158609,XB-GENE-5961055,rspo1
GeneID:100158612,XB-GENE-5886610,gcc2
GeneID:100158613,XB-GENE-976167,anks4b
GeneID:100158614,XB-GENE-976969,rgs20
GeneID:100158615,XB-GENE-5918855,nop9
GeneID:100158616,XB-GENE-5900474,fam171a2
GeneID:100158617,XB-GENE-986398,qsox2
GeneID:100158618,XB-GENE-6257729,bcl7c
GeneID:100158619,XB-GENE-1013377,ap3b2
GeneID:100158620,XB-GENE-1001274,fbxo3
GeneID:100158621,XB-GENE-998506,lztr1
GeneID:100158622,XB-GENE-5839240,rad54b
GeneID:100158623,XB-GENE-5939806,tonsl
GeneID:100158624,XB-GENE-5969937,phka1
GeneID:100158625,XB-GENE-1010520,trrap
GeneID:100158626,XB-GENE-996672,efcab6
GeneID:100158627,XB-GENE-488662,hdac7
GeneID:100158628,XB-GENE-994086,srcin1
GeneID:100158629,XB-GENE-984166,atp13a1
GeneID:100158630,XB-GENE-959469,eps15l1
GeneID:100158631,XB-GENE-951150,pcnx4
GeneID:100158632,XB-GENE-996765,piga
GeneID:100158633,XB-GENE-5871020,maml3
GeneID:100158634,XB-GENE-1010256,abcb8
GeneID:100158635,XB-GENE-1005160,polr1a
GeneID:100158636,XB-GENE-1004361,espl1
GeneID:100158637,XB-GENE-5932293,mms22l
GeneID:100158638,XB-GENE-5891978,fam234a
GeneID:100158639,XB-GENE-6258668,tmem87a
GeneID:100158640,XB-GENE-941020,sec62
GeneID:100158641,XB-GENE-969266,sec23ip
GeneID:100158642,XB-GENE-1007876,raver1
GeneID:100158643,XB-GENE-5799940,polr3b
GeneID:100158644,XB-GENE-981781,nlrc3
GeneID:100158645,XB-GENE-970294,fbxo24
GeneID:100158646,XB-GENE-983806,nptxr
GeneID:100158647,XB-GENE-6456187,trappc14
GeneID:100158648,XB-GENE-951386,gpr153
GeneID:100158649,XB-GENE-5811534,kdm8
GeneID:100158650,XB-GENE-953426,pgs1
GeneID:100158651,XB-GENE-993398,fdxr
GeneID:100158652,XB-GENE-1012778,fbxl8
