#NCBI-GeneID,XB-GENE-ID,GENE_SYMBOL
GeneID:100036726,XB-GENE-5762462,znf268
GeneID:100036727,XB-GENE-991006,spon1
GeneID:100036728,XB-GENE-852703,cers2
GeneID:100036729,XB-GENE-1001597,alpk1
GeneID:100036730,XB-GENE-959403,pnpla6
GeneID:100036731,XB-GENE-922864,dpf1
GeneID:100036732,XB-GENE-963435,slc40a1
GeneID:100036733,XB-GENE-950930,st8sia4
GeneID:100036734,XB-GENE-920106,dnah1
GeneID:100036735,XB-GENE-988459,st8sia5
GeneID:100036736,XB-GENE-992405,st8sia6
GeneID:100036737,XB-GENE-1017477,dio2
GeneID:100036738,XB-GENE-920152,tpo
GeneID:100036739,XB-GENE-5777294,cmas
GeneID:100036740,XB-GENE-955909,gip
GeneID:100037834,XB-GENE-968871,nrip1
GeneID:100037836,XB-GENE-5884411,cep78
GeneID:100037837,XB-GENE-5957842,myof
GeneID:100037838,XB-GENE-5902559,iqsec3
GeneID:100037839,XB-GENE-852641,nell2
GeneID:100037840,XB-GENE-949827,ppp3cb
GeneID:100037841,XB-GENE-940365,ogfrl1
GeneID:100037843,XB-GENE-5947997,adap1
GeneID:100037844,XB-GENE-963972,cntnap1
GeneID:100037845,XB-GENE-5819524,plxna1
GeneID:100037846,XB-GENE-1011028,arhgap21
GeneID:100037847,XB-GENE-961347,reep2
GeneID:100037848,XB-GENE-990574,fam117b
GeneID:100037849,XB-GENE-975095,tab2
GeneID:100037850,XB-GENE-6049186,necap2
GeneID:100037851,XB-GENE-494405,svil
GeneID:100037852,XB-GENE-1012090,sh3gl2
GeneID:100037853,XB-GENE-955554,bdnf
GeneID:100037854,XB-GENE-5750851,tmem151b
GeneID:100037855,XB-GENE-852586,arhgap33
GeneID:100037857,XB-GENE-961157,ppp3cc
GeneID:100037858,XB-GENE-5941647,slc29a3
GeneID:100037859,XB-GENE-5839942,rbp4l
GeneID:100037860,XB-GENE-5955201,ctnna2
GeneID:100037861,XB-GENE-960432,itgb6
GeneID:100037862,XB-GENE-952700,mphosph9
GeneID:100037864,XB-GENE-5769563,selenom
GeneID:100037865,XB-GENE-5996034,pou4f4
GeneID:100037866,XB-GENE-6454943,pop7
GeneID:100037867,XB-GENE-1009224,zranb3
GeneID:100037868,XB-GENE-479083,apom
GeneID:100037869,XB-GENE-956917,cenpv
GeneID:100037870,XB-GENE-979723,agk
GeneID:100037871,XB-GENE-941198,lamp5
GeneID:100037872,XB-GENE-867509,pde7b
GeneID:100037873,XB-GENE-963306,pmf1
GeneID:100037874,XB-GENE-5821575,cyp3a5
GeneID:100037875,XB-GENE-5851849,hsd11b1l
GeneID:100037876,XB-GENE-5856779,cdk16
