NCBI-GENE-ID,XB-GENE-ID,#GENE_SYMBOL
GeneID:100493193,XB-GENE-5737305,XB5737304 [provisional]
GeneID:100490291,XB-GENE-5738352,XB5738351 [provisional:cartpt]
GeneID:100490587,XB-GENE-5738617,XB5738616 [provisional:endod1]
GeneID:100145000,XB-GENE-5740037,XB5740036 [provisional]
GeneID:100145428,XB-GENE-5740126,XB5740125 [provisional:tspan3]
GeneID:496665,XB-GENE-5742361,XB5742360 [provisional:apcs]
GeneID:733880,XB-GENE-5745513,XB5745512 [provisional]
GeneID:100145107,XB-GENE-5745824,XB5745823 [provisional]
GeneID:733735,XB-GENE-5748695,XB5748694 [provisional:cdc42ep4]
GeneID:100145002,XB-GENE-5749128,XB5749127 [provisional]
GeneID:100486876,XB-GENE-5749399,XB5749398 [provisional]
GeneID:100490079,XB-GENE-5750837,XB5750836 [provisional]
GeneID:100493491,XB-GENE-5752757,XB5752756 [provisional:thap1]
GeneID:100135136,XB-GENE-5756114,XB5756113 [provisional]
GeneID:496746,XB-GENE-5758586,XB5758585 [provisional]
GeneID:100491633,XB-GENE-5759209,XB5759208 [provisional]
GeneID:733855,XB-GENE-5759443,XB5759442 [provisional]
GeneID:100145496,XB-GENE-5760633,XB5760632 [provisional:paox]
GeneID:100145442,XB-GENE-5760649,XB5760648 [provisional:pinlyp]
GeneID:100497909,XB-GENE-5761342,XB5761341 [provisional:muc2]
GeneID:100493194,XB-GENE-5761351,XB5761350 [provisional]
GeneID:100145100,XB-GENE-5761891,XB5761890 [provisional:nat16]
GeneID:100495557,XB-GENE-5762038,XB5762037 [provisional]
GeneID:100145105,XB-GENE-5762394,XB5762393 [provisional:trim25]
GeneID:100145250,XB-GENE-5762452,XB5762451 [provisional]
GeneID:548945,XB-GENE-5763443,XB5763442 [provisional:chia]
GeneID:100493771,XB-GENE-5764008,XB5764007 [provisional:ggt1]
GeneID:100489074,XB-GENE-5765007,XB5765006 [provisional:trim25]
GeneID:100491417,XB-GENE-5765048,XB5765047 [provisional:or11l1]
GeneID:100127659,XB-GENE-5765668,XB5765667 [provisional]
GeneID:100494649,XB-GENE-5765724,XB5765723 [provisional]
GeneID:100145763,XB-GENE-5767035,XB5767034 [provisional]
GeneID:733521,XB-GENE-5767170,XB5767169 [provisional]
GeneID:100498624,XB-GENE-5768884,XB5768883 [provisional]
GeneID:100145323,XB-GENE-5769267,XB5769266 [provisional]
GeneID:100493148,XB-GENE-5771955,XB5771954 [provisional:nnmt]
GeneID:100144966,XB-GENE-5772074,XB5772073 [provisional:srpk1]
GeneID:100487332,XB-GENE-5772271,XB5772270 [provisional:trim25]
GeneID:100488224,XB-GENE-5772962,XB5772961 [provisional]
GeneID:100135371,XB-GENE-5774339,XB5774338 [provisional]
GeneID:100145110,XB-GENE-5780652,XB5780651 [provisional]
GeneID:100136946,XB-GENE-5783658,XB5783657 [provisional:trim25]
GeneID:100494793,XB-GENE-5786945,XB5786944 [provisional:lnx2]
GeneID:100494818,XB-GENE-5788061,XB5788060 [provisional]
GeneID:100145174,XB-GENE-5789558,XB5789557 [provisional]
GeneID:100145515,XB-GENE-5793598,XB5793597 [provisional]
GeneID:733489,XB-GENE-5795369,XB5795368 [provisional]
GeneID:100495603,XB-GENE-5795726,XB5795725 [provisional]
GeneID:100496982,XB-GENE-5796357,XB5796356 [provisional]
GeneID:734071,XB-GENE-5796437,XB5796436 [provisional:mgst3]
GeneID:100496360,XB-GENE-5796701,XB5796700 [provisional:trim7]
GeneID:779564,XB-GENE-5797210,XB5797209 [provisional:car15]
GeneID:100498455,XB-GENE-5797405,XB5797404 [provisional]
GeneID:100145084,XB-GENE-5798855,XB5798854 [provisional]
GeneID:100135349,XB-GENE-5798884,XB5798883 [provisional]
GeneID:100490720,XB-GENE-5799638,XB5799637 [provisional:gabrp]
GeneID:733928,XB-GENE-5799682,XB5799681 [provisional:znf26]
GeneID:100145255,XB-GENE-5799769,XB5799768 [provisional]
GeneID:100135070,XB-GENE-5802731,XB5802730 [provisional rab10l]
GeneID:100496462,XB-GENE-5802830,XB5802829 [provisional]
GeneID:496762,XB-GENE-5806081,XB5806080 [provisional]
GeneID:100489276,XB-GENE-5806302,XB5806301 [provisional:pinlyp]
GeneID:100170425,XB-GENE-5807237,XB5807236 [provisional]
GeneID:100145165,XB-GENE-5809688,XB5809687 [provisional]
GeneID:496764,XB-GENE-5810167,XB5810166 [provisional]
GeneID:100498450,XB-GENE-5811293,XB5811292 [provisional]
GeneID:733553,XB-GENE-5812048,XB5812047 [provisional:casp7]
GeneID:780277,XB-GENE-5812268,XB5812267 [provisional]
GeneID:100127722,XB-GENE-5812874,XB5812873 [provisional]
GeneID:100492113,XB-GENE-5813499,XB5813498 [provisional]
GeneID:100492885,XB-GENE-5813855,XB5813854 [provisional:ankrd52]
GeneID:100492494,XB-GENE-5814121,XB5814120 [provisional]
GeneID:100496844,XB-GENE-5814631,XB5814630 [provisional:inmt]
GeneID:100486127,XB-GENE-5815363,XB5815362 [provisional:cyp2j6]
GeneID:100170432,XB-GENE-5816430,XB5816429 [provisional:mecr]
GeneID:100125092,XB-GENE-5817456,XB5817455 [provisional:hs3st1]
GeneID:100485989,XB-GENE-5817985,XB5817984 [provisional:opn1sw]
GeneID:100145015,XB-GENE-5818662,XB5818661 [provisional]
GeneID:100145446,XB-GENE-5818700,XB5818699 [provisional:ccdc50]
GeneID:100127872,XB-GENE-5818975,XB5818974 [provisional]
GeneID:100127789,XB-GENE-5821670,XB5821669 [provisional:nnmt]
GeneID:100497030,XB-GENE-5822196,XB5822195 [provisional]
GeneID:100487022,XB-GENE-5824246,XB5824245 [provisional:rergl]
GeneID:100489773,XB-GENE-5826632,XB5826631 [provisional:asap2]
GeneID:100488817,XB-GENE-5828379,XB5828378 [provisional]
GeneID:100145470,XB-GENE-5829484,XB5829483 [provisional]
GeneID:100487982,XB-GENE-5829847,XB5829846 [provisional:mfsd1]
GeneID:100497395,XB-GENE-5832480,XB5832479 [provisional:cdc25c]
GeneID:779553,XB-GENE-5835758,XB5835757 [provisional]
GeneID:100498391,XB-GENE-5836360,XB5836359 [provisional:trim25]
GeneID:100490164,XB-GENE-5836482,XB5836481 [provisional:trim7]
GeneID:100493076,XB-GENE-5836726,XB5836725 [provisional]
GeneID:100145070,XB-GENE-5838590,XB5838589 [provisional:adam9]
GeneID:100488097,XB-GENE-5838994,XB5838993 [provisional:chad]
GeneID:100145533,XB-GENE-5842390,XB5842389 [provisional]
GeneID:100486282,XB-GENE-5843063,XB5843062 [provisional:sult3a1]
GeneID:100135138,XB-GENE-5843131,XB5843130 [provisional]
GeneID:100494922,XB-GENE-5844016,XB5844015 [provisional:capn2]
GeneID:100494196,XB-GENE-5844515,XB5844514 [provisional:cysltr2]
GeneID:100145782,XB-GENE-5845013,XB5845012 [provisional:tm4sf5]
GeneID:100494570,XB-GENE-5845205,XB5845204 [provisional:cplx4]
GeneID:548368,XB-GENE-5846577,XB5846576 [provisional:nnmt]
GeneID:100498328,XB-GENE-5846709,XB5846708 [provisional]
GeneID:100494680,XB-GENE-5846731,XB5846730 [provisional:nnmt]
GeneID:100494211,XB-GENE-5848003,XB5848002 [provisional]
GeneID:619584,XB-GENE-5848843,XB5848842 (provisional)
GeneID:100144919,XB-GENE-5850669,XB5850668 [provisional]
GeneID:100485537,XB-GENE-5852328,XB5852327 [provisional]
GeneID:100145149,XB-GENE-5852427,XB5852426 [provisional:aprt]
GeneID:100145348,XB-GENE-5852575,XB5852574 [provisional:crp]
GeneID:100145486,XB-GENE-5854345,XB5854344 [provisional:nufip2]
